"","V1","V2","V3","V4","V5","V6","proportion"
"87",0.03,124,124,"S",85692,"Triticum dicoccoides",0.000380048670749125
"88",0.03,116,116,"S",4565,"Triticum aestivum",0.000355529401668536
"89",0.01,58,58,"S",4572,"Triticum urartu",0.000177764700834268
"90",0.02,92,92,"S",89674,"Lolium rigidum",0.00028197159442677
"91",0.02,72,72,"S",4522,"Lolium perenne",0.000220673421725298
"92",0.01,38,38,"S",15368,"Brachypodium distachyon",0.000116466528132796
"93",0.01,42,42,"S",4533,"Oryza brachyantha",0.000128726162673091
"94",0.01,30,30,"S",4538,"Oryza glaberrima",9.19472590522077e-05
"95",0.03,116,116,"S",4577,"Zea mays",0.000355529401668536
"96",0.01,48,48,"S",4558,"Sorghum bicolor",0.000147115614483532
"97",0.01,66,66,"S",38727,"Panicum virgatum",0.000202283969914857
"98",0.01,26,26,"S",206008,"Panicum hallii",7.96876245119133e-05
"99",0,12,12,"S",4555,"Setaria italica",3.67789036208831e-05
"100",0,8,8,"S",4556,"Setaria viridis",2.45192690805887e-05
"101",0.02,94,94,"S",29695,"Phragmites australis",0.000288101411696917
"102",0.04,196,196,"S",4615,"Ananas comosus",0.000600722092474423
"103",0.1,448,448,"S",94328,"Zingiber officinale",0.00137307906851297
"104",0.05,206,206,"S",51953,"Elaeis guineensis",0.000631371178825159
"105",0.04,176,176,"S",42345,"Phoenix dactylifera",0.000539423919772952
"106",0.05,234,234,"S",4686,"Asparagus officinalis",0.00071718862060722
"107",0.08,340,340,"S",3469,"Papaver somniferum",0.00104206893592502
"108",0.04,164,164,"S",54955,"Telopea speciosissima",0.000502645016152069
"109",0.03,118,118,"S",60698,"Macadamia integrifolia",0.000361659218938683
"110",0.05,208,208,"S",86752,"Magnolia sinica",0.000637500996095306
"111",0.01,66,66,"S",210225,"Nymphaea colorata",0.000202283969914857
"112",0.27,1194,1194,"S",3369,"Cryptomeria japonica",0.00365950091027786
"113",0.02,88,88,"S",3218,"Physcomitrium patens",0.000269711959886476
"114",0,2,2,"S",41875,"Bathycoccus prasinos",6.12981727014718e-06
"115",0,2,2,"S",3055,"Chlamydomonas reinhardtii",6.12981727014718e-06
